NPA,Vacant_Land,Vacant_Land_Area,Commercial_Construction,Commercial_Construction_Permitted_Units,Commercial_Size,Commercial_Size_Total,Commercial_Building_Age,Impervious_Surface,Impervious_Surface_Area,Adopt_a_Stream,Adopt_a_Stream_Length,Pharmacy_Proximity,Pharmacy_Proximate_Units,Housing_Density,Housing_Units,Single_Family_Housing,Single_Family_Units,Housing_Size,Housing_Age,New_Residential,New_Residential_Permit_Units,Residential_Renovation,Residential_Renovation_Permit_Units,Foreclosures,Foreclosed_Units,Housing_Violations,Housing_Violations_Total,Street_Connectivity,Transit_Proximity,Transit_Proximate_Units
47,1.8,3,2.87,4,9304,65127,33,55,39.4,100,1.1,100,639,4.6,639,3,20,3442,46,0,0,2.87,4,0,0,0,0,1.08,100,639
48,16.4,311,0.32,6,21437,107184,25,81,4.3,100,3.09,0,0,0.3,610,83,504,2008,20,0,0,0.47,9,1.5,9,0.33,2,1.18,43,260
49,12.6,151,0,0,3602,32420,48,75,6.2,0,0,0,0,0.8,974,100,970,1853,29,0,0,0.83,10,1.1,10,0.1,1,1.08,0,0
50,1.2,3,4.11,11,8284,124262,39,61,22.8,0,0,69,727,3.9,1054,39,407,1517,37,0,0,3.74,10,1.8,9,8.92,94,1.11,93,976
51,8.4,24,2.84,8,19382,910968,60,82,29.1,100,1.09,0,0,2.7,765,52,399,1553,63,0.35,1,7.45,21,0.5,3,0.65,5,1.35,100,765
52,3.4,17,2.79,14,13069,954066,41,128,25.5,-1,-1,38,207,1.1,551,33,179,1330,58,0,0,1.2,6,0,0,1.81,10,1.03,100,551
53,16,70,0.92,4,20147,523818,34,86,19.7,0,0,25,309,2.8,1221,44,531,1370,42,0,0,1.37,6,0.4,3,1.47,18,1.2,100,1221
54,32.6,271,3.12,26,44262,929499,29,101,12.1,0,0,1,5,0.7,559,100,559,1215,45,0.12,1,1.44,12,0.5,3,3.76,21,1.19,95,530
55,7,39,0.54,3,17195,464261,28,106,19.2,100,1.56,5,41,1.5,805,85,683,2161,35,0.18,1,2.71,15,0.1,1,0.37,3,1.12,95,764
56,14.2,42,2.04,6,58378,467026,22,84,28.6,100,1.47,96,348,1.2,364,29,105,3030,37,0,0,4.09,12,0,0,0.55,2,1.08,89,324
57,9.4,16,2.98,5,47564,428073,35,78,46.5,-1,-1,0,0,4,669,11,76,1548,47,0,0,0.6,1,0.7,2,0.15,1,1.03,100,669
58,2.9,6,1.37,3,8204,172279,38,50,22.9,55.38,1.08,89,432,2.2,484,53,256,1877,43,0,0,2.29,5,0,0,3.1,15,1.17,100,484
59,14.8,51,0,0,10650,181052,39,67,19.4,-1,-1,61,680,3.2,1110,34,372,1543,40,0,0,2.61,9,1.4,8,1.35,15,1.15,100,1110
60,22.8,183,3.37,27,24774,421163,18,100,12.5,80.5,2.27,72,1000,1.7,1383,1,7,2434,50,0,0,0,0,0,0,0.43,6,1.23,92,1275
61,16,48,0.66,2,52263,104526,20,39,12.9,52.83,0.28,9,37,1.4,434,64,276,1751,25,0,0,0.66,2,0.4,1,0.69,3,1.12,0,0
62,0,0,0,0,84368,84368,38,130,44.7,-1,-1,0,0,0.2,64,6,4,-1,-1,0.34,1,0,0,-1,-1,0,0,1.11,100,64
64,9.3,35,1.83,7,17352,381741,24,117,30.7,-1,-1,30,613,5.4,2045,12,241,1878,42,0,0,1.31,5,0.7,8,0.49,10,1.21,100,2042
65,38.5,139,3.05,11,13356,93490,12,57,15.8,100,1.91,0,0,2.6,938,1,6,1348,58,0,0,0,0,0,0,0,0,1.27,92,860
66,5.3,20,7.34,27,35032,1366259,21,156,42.4,100,1.9,56,751,3.7,1353,3,35,2034,29,0,0,0.27,1,0.4,1,0.67,9,1.12,100,1353
67,38.9,38,1.01,1,4785,38281,15,31,31.3,-1,-1,0,0,6.5,643,0,2,-1,-1,0,0,0,0,0,0,0.16,1,1.15,100,643
68,26.4,334,1.42,18,40227,3942260,26,301,23.8,100,2,64,729,0.9,1132,31,345,2122,21,0,0,0.24,3,0.3,2,0.18,2,1.09,61,689
69,1,4,1.05,4,22389,201504,10,66,17.4,100,0.26,67,482,1.9,719,34,247,4184,39,0.79,3,5.8,22,0,0,0,0,1.16,94,675
70,2.1,6,1.69,5,9415,178890,38,72,24.3,0,0,66,344,1.8,521,100,520,1199,56,0,0,3.72,11,0.8,4,4.22,22,1.32,100,521
71,2.9,10,0,0,4666,37329,41,78,22,0,0,60,854,4,1425,15,212,1737,31,0,0,0.56,2,0,0,2.32,33,1.12,100,1425
72,25.8,300,3.35,39,54433,2395062,11,226,19.4,0,0,39,443,1,1128,22,246,2317,22,4.64,54,0.26,3,0.4,2,0.18,2,1.32,89,1007
73,33.4,1360,0.29,12,71718,3012144,30,280,6.9,26.87,2.01,2,19,0.3,1093,94,1029,1692,25,0.69,28,0.15,6,0.9,10,0.64,7,1.18,0,5
74,1,2,9.5,19,58769,117537,28,66,33,-1,-1,69,512,3.7,740,23,172,1468,32,0,0,1,2,0.2,1,0.14,1,1.04,100,740
75,5.7,20,1.17,4,36598,36598,12,65,18.9,0,0,89,706,2.3,795,33,262,4401,15,0.87,3,4.37,15,0.9,7,0.13,1,1.13,0,0
76,19.4,252,0.85,11,13403,120627,17,102,7.9,0,0,3,36,0.9,1154,100,1150,2497,13,0,0,0.38,5,0.5,6,0.09,1,1.12,8,88
77,28.1,287,0.49,5,10911,229140,16,133,13,100,0.18,59,1316,2.2,2245,47,1052,2117,13,0,0,0.49,5,0.4,5,0.04,1,1.19,51,1134
78,9.3,59,3.47,22,55684,2561479,19,188,29.6,45.63,3.08,41,373,1.5,919,47,427,2553,15,0,0,0.32,2,0,0,0.33,3,1.17,93,858
79,1.9,1,0,0,3079,15395,26,25,34.2,0,0,100,518,7.1,518,0,0,-1,-1,0,0,0,0,-1,-1,0.39,2,1,100,518
80,52.7,363,1.16,8,5250,20998,19,39,5.7,0,0,0,0,1.7,1163,2,23,1634,51,0,0,0,0,2.2,9,0,0,1.27,0,0
81,14,27,2.62,5,6955,13909,13,43,22.6,0,0,56,253,2.4,454,62,280,2013,21,0,0,1.57,3,0.7,3,0,0,1.06,95,433
82,26.5,99,1.34,5,13313,146445,13,80,21.4,100,0.79,46,524,3,1134,36,410,2823,12,0.27,1,1.6,6,0.7,5,0.18,2,1.24,90,1022
83,59.7,1432,0.04,1,52464,209854,53,64,2.7,0,0,0,0,0.1,291,78,226,2147,44,0.04,1,0.38,9,0.3,1,3.09,9,1.02,0,0
84,48.5,1205,0.12,3,24403,219629,44,43,1.7,0,0,15,37,0.1,240,95,229,1537,51,0.48,12,0,0,0.8,2,0.42,1,1.16,20,48
85,8.6,24,0.36,1,2691,43057,65,45,16.3,0,0,37,286,2.8,769,82,634,1033,58,0,0,4.35,12,0.5,3,5.46,42,1.26,100,769
86,1,1,81.76,81,3783,45397,40,39,39.4,100,1,61,678,11.3,1116,2,23,890,61,0,0,0,0,0.5,1,2.6,29,1,100,1116
87,2.9,6,15.32,30,3648,65666,46,46,23.5,-1,-1,28,190,3.5,681,46,312,1277,62,6.13,12,7.66,15,0,0,1.17,8,1.15,100,681
88,11.3,48,0.93,4,12229,611473,56,62,14.4,0,0,0,0,1.1,466,100,466,1007,52,3.49,15,3.72,16,1.2,5,6.22,29,1.21,100,466
89,7.4,18,0,0,1402,2804,29,35,14.7,0,0,41,227,2.3,549,100,549,1391,35,0,0,2.95,7,0.4,2,0.73,4,1.1,99,544
90,3,8,0.4,1,4458,98079,40,51,20.4,-1,-1,64,529,3.3,828,41,338,1360,58,0,0,5.6,14,0.6,2,2.17,18,1.19,100,828
91,4.1,12,0.35,1,1434,1434,15,44,15.6,0,0,0,0,3,839,83,695,1508,35,0,0,2.48,7,1,7,0.48,4,1.07,68,568
92,19.8,54,5.14,14,36760,1323374,14,108,39.7,-1,-1,100,1344,5,1344,0,2,-1,-1,0,0,0.73,2,1.5,5,0,0,1.31,100,1344
93,25.3,148,4.27,25,71305,2566981,27,137,23.4,0,0,99,620,1.1,624,1,4,-1,-1,0,0,0,0,-1,-1,0.8,5,1.23,100,624
94,16.9,111,1.68,11,42349,1566926,27,131,20,0,0,16,60,0.6,378,94,354,1133,43,0,0,0.91,6,1.1,4,1.06,4,1.27,95,360
95,2.8,12,7.69,34,66340,1990197,15,136,30.8,-1,-1,61,413,1.5,672,53,354,1742,20,0,0,1.13,5,0.3,1,0.15,1,1.17,65,435
96,28.2,202,1.67,12,26640,825852,12,166,23.1,88.19,2.54,48,900,2.6,1865,32,605,1604,22,5.56,40,0.7,5,1,10,0.21,4,1.17,97,1812
97,4.3,24,0.18,1,8482,25446,32,89,16.2,28.76,1.76,4,66,2.9,1556,59,915,1884,24,6.01,33,1.46,8,0.9,10,0.06,1,1.08,66,1022
98,29,464,0,0,6090,30452,43,78,4.9,30.8,0.81,1,10,0.6,977,86,840,2085,16,6.55,105,0.31,5,1.4,14,0.1,1,1.08,61,593
99,3.4,14,0,0,1200,1200,62,72,18.1,-1,-1,0,0,1.6,645,100,645,1893,44,0,0,4.54,18,0.3,2,0.62,4,1.22,95,612
100,2.8,20,0.56,4,15488,1347469,28,149,20.7,-1,-1,23,161,1,699,63,441,1418,39,0,0,1.11,8,0.5,3,2.29,16,1.05,100,699
101,6.7,8,0.79,1,3583,17915,44,34,26.9,-1,-1,0,0,5.8,728,12,89,1292,35,0,0,0,0,0,0,1.65,12,1.18,100,728
102,5.2,10,12.18,24,3730,22377,45,31,15.7,-1,-1,15,77,2.7,525,61,318,1210,39,0,0,6.6,13,0,0,1.52,8,1.02,100,525
103,19.6,26,2.23,3,8506,42529,30,26,19.3,-1,-1,0,0,3.5,480,47,227,1210,17,0,0,0.74,1,1.5,7,0.83,4,1.14,100,480
105,5.4,12,0.9,2,2068,2068,38,57,25.7,100,1.32,5,40,3.5,784,24,189,1856,43,76.73,170,4.06,9,0,0,0.26,2,1.31,94,737
106,1.1,2,7.9,12,17493,664734,44,75,49.4,-1,-1,50,366,4.8,729,5,38,1501,53,0,0,1.98,3,0,0,1.37,10,1.12,100,729
107,3.1,5,1.87,3,36869,73737,19,48,30,46.28,0.56,62,416,4.2,675,4,25,1530,58,0,0,0,0,1.6,4,0.3,2,1.16,100,675
108,17.9,102,0,0,11567,277618,27,69,12.1,56.34,1.2,0,0,1,548,77,424,1843,29,0,0,1.92,11,0.2,1,-1,-1,1.05,60,328
109,16.4,204,0.24,3,13234,383795,21,128,10.3,0,0,44,421,0.8,947,60,570,3386,20,0.48,6,2.89,36,0.5,4,0,0,1.11,45,422
110,20.1,280,0.14,2,11904,166657,26,78,5.6,0,0,33,251,0.5,761,68,518,2266,28,0.14,2,0.43,6,0.4,2,0.13,1,1.08,33,251
111,37.9,285,3.59,27,50647,911653,23,110,14.6,-1,-1,17,184,1.4,1080,66,708,2442,14,11.97,90,0.66,5,0.7,6,0.28,3,1.19,85,919
112,31.3,512,0,0,3053,12211,69,54,3.3,0,0,0,0,0.4,584,93,544,2127,29,1.34,22,0.67,11,0.2,1,0.17,1,1.14,0,0
113,17.6,235,0.15,2,14519,406523,35,121,9,0,0,0,0,1.1,1446,100,1445,1713,19,1.49,20,0.6,8,1,14,0.41,6,1.09,5,79
114,21.9,144,1.52,10,31313,1158595,30,102,15.5,0,0,0,0,0.7,441,52,227,910,57,0,0,0.46,3,0.6,1,3.63,16,1.13,100,441
115,9,64,0.28,2,10123,293565,10,166,23.1,15.34,0.85,12,212,2.6,1839,77,1411,3000,12,0,0,3.2,23,0.2,3,0.05,1,1.31,0,0
116,25.3,927,0.85,31,30175,8961945,33,605,16.5,17.47,3.04,72,906,0.3,1263,49,624,1884,24,1.09,40,1.42,52,0.5,4,-1,-1,1.29,97,1227
117,6.3,63,0.5,5,23605,283258,25,86,8.7,0,0,22,318,1.5,1479,78,1158,1999,12,3.43,34,0.4,4,1.3,15,0.41,6,1.08,33,495
118,4,13,0.31,1,9227,18454,17,45,14.1,100,0.33,0,0,1.4,432,100,432,2730,30,0,0,5,16,0.2,1,0.23,1,1.04,71,307
119,12,122,0.49,5,9704,155257,37,98,9.6,0,0,25,117,0.5,467,100,467,1590,43,0,0,0.49,5,0.4,2,1.93,9,1.26,80,373
120,11.7,45,0.52,2,10346,175890,39,50,13.1,1.08,0.01,0,0,1.5,579,49,281,1137,44,0.78,3,2.09,8,0.4,1,3.97,23,1.21,100,579
121,8.4,39,0.86,4,20999,482974,30,74,16,-1,-1,0,1,1.8,824,72,594,1226,51,0,0,1.51,7,1,8,0.49,4,1.18,100,824
122,1.6,62,1.07,41,201178,5230639,26,1259,33,27.59,1.04,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,1.14,0,-1
123,13.8,167,0.41,5,22504,675108,26,119,9.8,57.97,2,1,14,0.9,1088,74,808,1472,41,0,0,1.24,15,0.8,6,1.47,16,1.16,99,1075
124,11.7,83,1.55,11,18781,1558795,40,245,34.6,5,0.03,72,635,1.3,888,63,560,1147,65,0,0,1.13,8,0.9,6,1.69,15,1.32,100,888
125,13.2,134,1.37,14,61792,2533463,34,198,19.4,-1,-1,0,0,1.1,1073,87,929,1459,26,1.67,17,0.39,4,1,10,0.37,4,1.19,34,368
126,80.6,113,0.71,1,4960,19839,44,20,14.2,0,0,0,0,2.1,290,29,84,2221,8,44.12,62,34.15,48,0,0,0.69,2,1.3,100,290
127,26.4,119,0.45,2,6184,98947,35,131,29.2,1.2,0.01,27,267,2.2,989,34,332,1595,38,0,0,0.67,3,0.6,2,0.81,8,1.08,99,975
128,5.2,14,0.37,1,4005,72084,48,55,20.5,0,0,46,480,3.9,1042,51,535,1104,57,0,0,6.7,18,0.2,1,4.41,46,1.3,100,1042
129,0,0,0.21,1,-1,-1,-1,71,14.6,100,3.04,27,235,1.8,869,82,713,2589,31,0,0,5.98,29,0.1,1,0.12,1,1.03,95,825
130,31,1120,0.06,2,8757,52541,31,125,3.5,0,0,0,0,0.2,766,82,630,3338,28,1.08,39,0.44,16,0.3,2,0.26,2,1.12,0,0
131,13.3,36,0.37,1,-1,-1,-1,42,15.5,0,0,17,136,3,802,93,745,1636,23,0,0,0.74,2,0.9,7,0.25,2,1.07,22,178
132,0.4,1,2.65,5,8970,125585,56,33,17.5,77.04,1.98,0,0,1.5,281,99,279,1233,64,0,0,5.3,10,0.5,1,0.71,2,1.19,100,281
133,2.6,4,3.15,5,-1,-1,-1,33,20.8,100,4.11,28,174,3.9,627,39,245,2481,52,0.63,1,14.5,23,0,0,0,0,1.14,100,627
134,11.7,14,0,0,6537,26146,27,22,19,100,2.02,100,449,3.9,449,41,185,1600,35,0,0,1.73,2,1.1,2,0,0,1.18,100,449
135,4.8,7,1.42,2,30302,515132,37,57,40.4,100,0.71,100,555,3.9,555,0,0,-1,-1,0,0,0,0,2.7,3,2.16,12,1,100,555
136,14.1,97,0.15,1,3968,23806,38,52,7.5,0,0,3,26,1.2,821,98,808,2158,15,1.16,8,1.31,9,1,8,0.12,1,1.17,35,285
137,20.5,144,2.14,15,11810,708588,39,89,12.7,0,0,1,6,0.8,547,99,543,1584,21,0.14,1,0.14,1,0.9,5,0.55,3,1.11,8,45
138,7,36,0.2,1,17854,1231914,37,121,23.8,0,0,0,0,0.5,251,100,251,1145,55,0,0,0.79,4,0,0,2.79,7,1.18,100,251
139,19.5,125,0.31,2,7377,206564,36,55,8.6,0,0,19,125,1,660,76,500,1292,26,0,0,1.25,8,1.8,9,1.36,9,1.16,100,660
140,13.5,141,0.38,4,20060,521560,34,118,11.3,0,0,28,304,1,1075,92,987,1496,37,0.1,1,1.15,12,0.7,7,1.21,13,1.18,67,716
141,12.5,85,1.03,7,25731,2701756,46,191,28.1,10.88,0.32,98,335,0.5,342,81,276,1126,55,0,0,0.29,2,0.8,2,2.34,8,1.31,100,342
142,1.9,8,2.26,10,64667,1552016,26,166,37.6,100,3.04,100,1299,2.9,1299,20,263,1227,42,1.13,5,0.91,4,0.2,1,0.69,9,1.16,100,1299
143,1.6,5,0.34,1,636,2544,17,61,20.8,-1,-1,10,61,2.1,618,57,350,3172,36,2.05,6,10.59,31,0,0,0,0,1.05,100,616
144,17.2,42,4.89,12,6307,56759,39,52,21.2,0,0,52,502,3.9,966,18,171,1517,29,2.04,5,2.44,6,1.2,2,-1,-1,1.03,100,966
145,14.6,76,1.15,6,10830,75810,21,78,15,0,0,5,35,1.2,646,56,361,1547,33,0.19,1,1.54,8,0.6,4,-1,-1,1.03,60,386
146,11.9,52,1.38,6,29207,321279,12,81,18.6,0,0,62,411,1.5,667,91,605,2026,28,0,0,1.15,5,0.5,3,0.45,3,1.15,85,564
147,9.7,44,0.66,3,18675,205430,31,77,16.9,0,0,25,275,2.4,1083,47,513,1699,34,1.54,7,1.32,6,1.4,12,0.65,7,1.05,100,1083
148,4,24,0.67,4,6112,24449,26,88,14.7,87.85,0.94,51,483,1.6,940,67,628,3049,23,3.02,18,3.35,20,0.2,1,0.11,1,1.08,54,505
149,11.4,31,3.98,11,35267,317406,15,52,18.8,-1,-1,36,162,1.6,448,14,62,2540,23,0,0,0.36,1,0.2,1,0,0,1.22,0,0
150,8.2,46,0,0,5987,41912,32,43,7.7,0,0,8,55,1.2,680,78,533,1553,24,0,0,0.72,4,0.6,3,1.47,10,1.09,45,309
151,3.3,17,1.49,8,5142,35996,21,118,22,-1,-1,0,0,2.1,1124,81,908,2808,14,2.43,13,2.62,14,0.1,1,0,0,1.16,0,0
152,29.6,176,0,0,1836,1836,11,23,3.9,20.54,1.15,0,0,0.5,294,99,290,1838,23,0.34,2,0.67,4,0.7,2,2.04,6,1.11,0,0
153,9.2,74,1.11,9,15879,396981,14,124,15.3,29.69,1.14,19,234,1.5,1225,100,1223,2863,14,0.37,3,1.35,11,0.2,3,0.24,3,1.08,35,431
154,9.9,73,3.56,26,12504,162551,18,93,12.7,-1,-1,48,549,1.6,1143,65,740,2287,18,0,0,0.55,4,0,0,0.26,3,1.05,83,948
155,37.2,463,0.64,8,9657,86913,37,91,7.3,3.37,0.18,11,119,0.8,1036,82,849,1830,20,1.12,14,0.24,3,0.8,7,0.39,4,1.05,0,0
156,29.7,332,0.18,2,8988,89881,24,80,7.2,0,0,36,454,1.1,1253,97,1221,1904,15,2.6,29,1.43,16,1.8,22,0.72,9,1.08,73,915
157,6.7,38,2.1,12,19723,2859811,54,187,32.7,-1,-1,0,0,0.5,288,65,188,1127,71,0.17,1,1.57,9,0,0,5.21,15,1.29,100,288
158,6.7,83,1.14,14,69609,2784350,36,263,21.4,41.83,1.69,0,0,1.1,1288,100,1288,1376,26,1.22,15,1.14,14,1,13,1.09,14,1.1,65,837
159,28.5,139,0.82,4,3650,51099,46,59,12.1,0,0,0,0,0.8,397,77,305,1078,44,1.02,5,1.84,9,0.4,1,4.79,19,1.25,100,397
160,7,54,0.9,7,19162,862300,33,124,16,0,0,0,0,1.4,1106,80,880,1318,38,0,0,2.06,16,0.8,7,2.53,28,1.13,100,1106
161,2.9,9,1.7,5,26569,132845,33,66,22.4,100,2.01,0,0,3.9,1134,8,94,3749,30,4.42,13,4.08,12,0,0,2.12,24,1.13,93,1054
162,4.9,18,0.82,3,7802,187239,39,59,16,-1,-1,47,330,1.9,696,100,696,1303,32,0,0,1.9,7,0.9,6,0.72,5,1.08,100,696
163,11.7,20,14.93,26,10288,678989,44,60,34.5,-1,-1,100,528,3,528,42,219,1621,64,12.06,21,8.61,15,0,0,0.19,1,1.44,100,528
164,1.5,10,6.08,39,10752,720370,40,163,25.4,100,1.14,69,1225,2.8,1766,27,480,1408,58,0.31,2,2.81,18,1.4,6,5.27,93,1.27,100,1766
